platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing
fastwork,Web dan Pemrograman,Web Development,Website Wordpress Elementor Murah dan Cepat,1400000.0,4.9,121.0,1.0,WordPress,https://fastwork.id/user/roni33/web-development-28594731?badges=&page=2&position=37&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Migrasi, Ganti Domain, dan Transfer Website Wordpress Antar Hosting",1400000.0,5.0,12.0,1.0,WordPress,https://fastwork.id/user/ajid28/web-development-76324596?badges=milestone&page=2&position=38&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Website Sistem Hotel Vila Hostel Losmen Apartemen Homestay,5000000.0,5.0,3.0,7.0,,https://fastwork.id/user/hubwork/web-development-29039985?badges=milestone&page=2&position=39&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"DEVELOP WEBSITE, WEBAPPS and BACKEND API",1400000.0,5.0,3.0,7.0,,https://fastwork.id/user/sukowidodo/web-development-50753811?badges=&page=2&position=40&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Websites - Wordpress (Compro, Online Shop, Landing Page dll)",1400000.0,4.9,24.0,7.0,WordPress,https://fastwork.id/user/mfitra89/web-development-10085404?badges=&page=3&position=1&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Fullstack Web Development Custom,1400000.0,5.0,3.0,3.0,,https://fastwork.id/user/fachmi13/web-development-54667412?badges=&page=3&position=2&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Web & App Developer,1500000.0,5.0,1.0,14.0,,https://fastwork.id/user/ikkosatrio/web-development-51694172?badges=&page=3&position=3&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Website 1 Halaman Proses Cepat 2 Hari Jadi,1400000.0,5.0,2.0,2.0,,https://fastwork.id/user/rezaesa25/web-development-92807817?badges=&page=3&position=4&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Convert Xd,Psd,Sketch ke Html Css Js",1400000.0,4.9,8.0,3.0,Sketch,https://fastwork.id/user/sniren/web-development-20278161?badges=&page=3&position=5&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Setup Server dan Modifikasi Aplikasi untuk Docker di VPS (Production Ready),750000.0,5.0,15.0,2.0,Docker,https://fastwork.id/user/aalfiann/web-development-94242567?badges=milestone%2Crehire&page=3&position=6&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pengembangan Web Fullstack,1600000.0,5.0,4.0,5.0,,https://fastwork.id/user/kpf5ydad/web-development-97171308?badges=&page=3&position=7&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Web Development / Mengerjakan Tugas Programming,1400000.0,4.9,26.0,3.0,,https://fastwork.id/user/kevinsagita/web-development-51184691?badges=&page=3&position=8&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,JASA PEMBUATAN WEBSITE SESUAI KEBUTUHAN,1400000.0,4.8,52.0,3.0,,https://fastwork.id/user/yadistira_ramadhan/web-development-56855025?badges=milestone%2Crehire&page=3&position=9&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa pembuatan web dinamis berbasis PHP,500000.0,4.9,42.0,3.0,PHP,https://fastwork.id/user/uluumbch/web-development-75053240?badges=milestone%2Crehire&page=3&position=10&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Slicing Figma to HTML | Bootstrap, Tailwind, jQuery, JavaScript, Cascading Style Sheets",500000.0,5.0,13.0,3.0,"JavaScript, Java, Figma",https://fastwork.id/user/ioiofadhil/web-development-90779430?badges=milestone&page=3&position=11&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Sistem Kasir (POS) Berbasis Web | Multi Cabang,1400000.0,5.0,4.0,7.0,,https://fastwork.id/user/alwimz/web-development-18533274?badges=&page=3&position=12&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Profesional - Solusi Terbaik untuk Bisnis Anda!,1400000.0,5.0,1.0,30.0,,https://fastwork.id/user/herdyna/web-development-21061159?badges=&page=3&position=13&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Web Development Fullstack Laravel - Pembuatan Website Sistem Informasi, E-Commerce, Inventory, dll",1400000.0,5.0,7.0,2.0,Laravel,https://fastwork.id/user/defadels/web-development-13192390?badges=rehire&page=3&position=14&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Website Bisnis & Sekolah (Company Profile, LMS, Toko Online (eCommerce) & Custom)",1400000.0,5.0,6.0,3.0,,https://fastwork.id/user/alfifilsa/web-development-53859417?badges=milestone%2Crehire&page=3&position=15&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website MODERN, Company Profile, Toko Online, Rental Mobil, Rental Motor dan SEO",1500000.0,5.0,3.0,7.0,SEO,https://fastwork.id/user/tambahinfollower/web-development-10295339?badges=&page=3&position=16&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Wordpress Free Domain & Hosting Unlimited SSD,1700000.0,5.0,2.0,7.0,WordPress,https://fastwork.id/user/ridwan87/web-development-57825589?badges=milestone&page=3&position=17&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Bisa Custom (Landing Page, Company Profile, Blog, Ecommerce)",1400000.0,5.0,2.0,3.0,,https://fastwork.id/user/webdesignfirst/web-development-42190616?badges=&page=3&position=18&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"PEMBUATAN WEBSITE CUSTOM (REACTJS,NEXTJS,LARAVEL)",1400000.0,5.0,7.0,2.0,"React, Next.js, Laravel",https://fastwork.id/user/riowebdev/web-development-18580882?badges=rehire&page=3&position=19&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website WordPress Specialist,1400000.0,5.0,1.0,2.0,WordPress,https://fastwork.id/user/webdesignfirst/web-development-12077425?badges=&page=3&position=20&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Aplikasi Web Wordpress, Web Company Profile, Shopify E-Commerce Dan Aplikasi Web Lainya",1400000.0,5.0,1.0,12.0,"WordPress, Shopify",https://fastwork.id/user/vantqabv/web-development-19028406?badges=milestone&page=3&position=21&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Wordpress Desain Website Professional | Company Profile | Ecommerce | Landing Page,1400000.0,5.0,34.0,1.0,WordPress,https://fastwork.id/user/ghaluhwzrd/web-development-74536946?badges=milestone&page=3&position=22&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Aplikasi POS Web murah dengan fitur lengkap dan berkualitas bisa Multi Outlet,1400000.0,5.0,3.0,15.0,,https://fastwork.id/user/vantqabv/web-development-23452356?badges=milestone&page=3&position=23&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Website dan Landing Page Wordpress Murah Berkualitas,1400000.0,5.0,7.0,3.0,WordPress,https://fastwork.id/user/aldialfaro/web-development-13697808?badges=&page=3&position=24&source=browse&subcategorySlug=web-development
