platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing,harga_raw,rating_raw,jumlah_order_raw,durasi_raw
sribu,Web dan Pemrograman,Web Development,Bikin Website Toko Online Professional Anti Ribet,1000000.0,5.0,,7.0,,https://www.sribu.com/id/users/ajihrdsyh12/bikin-website-toko-online-professional-anti-ribet-78725d06-4f24-4539-8ba0-2ab01da80bbf,Rp1.000.000,5.0,,7 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Company Profile,1500000.0,5.0,,10.0,,https://www.sribu.com/id/users/alvindaakbar10/pembuatan-website-company-profile-1de8630d-4304-482d-8d0e-7952c4a24eb9,Rp1.500.000,5.0,,10 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Profesional,500000.0,5.0,,5.0,,https://www.sribu.com/id/users/DiazRahman021/pembuatan-website-profesional-8af4f22d-457e-41fc-905a-279974409c09,Rp500.000,5.0,,5 Hari Pengerjaan0 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Web Wordpress Divi 5 Themes Profesional,2299000.0,5.0,,8.0,WordPress,https://www.sribu.com/id/users/papidzaky/pembuatan-web-wordpress-divi-5-themes-profesional-ecd181a0-41ec-43c5-81b5-b401edfbd557,Rp2.299.000,5.0,,8 Hari Pengerjaan5 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Web Landing Page Bootsrap,125000.0,5.0,,3.0,,https://www.sribu.com/id/users/rizqullaharsyad/pembuatan-web-landing-page-bootsrap-00ad7515-de52-498e-836e-538ff38a5a3f,Rp125.000,5.0,,3 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Website Company Profile,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/YorrSide/website-company-profile-53304b9d-36a7-4a16-9a8a-51128d6e4dab,Rp300.000,5.0,,2 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Landing Page Profesional UMKM Friendly,350000.0,5.0,4.0,3.0,,https://www.sribu.com/id/users/kiya.west/pembuatan-landing-page-profesional-umkm-friendly-6796c7e0-0ea7-4f23-9d8a-427fa639ae22,Rp350.000,5.0,4Preview hasil pengerjaan,3 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Landing Page Modern Responsif,450000.0,5.0,4.0,5.0,,https://www.sribu.com/id/users/Mal3_147/pembuatan-website-landing-page-modern-responsif-ff2218fe-4467-4f03-bcde-b644a2d6d0fb,Rp450.000,5.0,4Preview  Revisi,5 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Pengembangan atau sewa aplikasi ecommerce web base,1500000.0,5.0,,30.0,,https://www.sribu.com/id/users/tantansuryana/pengembangan-atau-sewa-aplikasi-ecommerce-web-base-d6d68bf4-44f6-4ae4-9aae-c917d9dfdffd,Rp1.500.000,5.0,,30 Hari Pengerjaan0 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Bot Telegram Custom,200000.0,5.0,,3.0,,https://www.sribu.com/id/users/deniardi/jasa-pembuatan-bot-telegram-custom-5b494444-16d5-4457-8256-4a4daef5b207,Rp200.000,5.0,,3 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website landing page atau statis custom ,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/adilridayu/pembuatan-website-landing-page-atau-statis-custom-2e3b3dfc-1550-4479-97a5-05e3e5a8d98b,Rp300.000,5.0,,2 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Website Company Profile ,1000000.0,5.0,,3.0,,https://www.sribu.com/id/users/ramdann45/website-company-profile-01d40fa1-975e-4af1-b51a-5553434be08d,Rp1.000.000,5.0,,3 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Website Company Profile,2000000.0,5.0,,5.0,,https://www.sribu.com/id/users/sandkodr/website-company-profile-decc10e7-81f0-4497-b035-91069904e435,Rp2.000.000,5.0,,Respon Chat5 hariProyek Berjalan0
sribu,Web dan Pemrograman,Web Development,bringhap dev,125000.0,5.0,,3.0,,https://www.sribu.com/id/users/surlucifer/bringhap-dev-5ce01126-b1e0-42c9-a2e4-2029c1179b6b,Rp125.000,5.0,,3 Hari Pengerjaan3 Revisi
